Property Address,Property Name,Number Of Units,Building Class,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Phone,Sale Company Contact,Vacancy %,Year Built,Year Renovated,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Owner Name,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Name,Property Manager Phone,Recorded Owner Name,Recorded Owner Contact,Recorded Owner Phone,Recorded Owner Address,Recorded Owner City State Zip,One Bedroom Effective Rent/Unit,Studio Effective Rent/Unit,Two Bedroom Asking Rent/Unit,Three Bedroom Effective Rent/Unit
2820-2846 Airport Hwy,Clair Commons,90,C,Toledo,OH,43609,598.00,1.01,601,,,,,,,5.5,1983,,54,25,,,Monarch Investment and Management Group,2195 S Hwy 83 Suite # 14,"Franktown, CO 80116-8610",Richard DiBianca,3034162900,Monarch - Claire Commons,4194647001,,,,,,566,596,670,
3002 Airport Hwy,,61,C,Toledo,OH,43609,,,,,,,,,,4.1,,,61,,,,,,,,,,,,,,,,,,,
3349 Airport Hwy,Briarcliff Woods,108,C,Toledo,OH,43609-1414,779.00,0.76,588,,,,,,,0.0,1979,,60,48,,,Princeton Management,2550 S Telegraph Rd,"Bloomfield Hills, MI 48302-0950",Matthew Lester,2486832500,Princeton Management - Cambridge Briarcliff Woods,4193850448,Cambridge Briarcliff Tic LLC,,2486832500,2550 S Telegraph Rd,"Bloomfield Hills, MI 48302-0950",555,,630,
3349 Airport Hwy,Cambridge Woods Apartments,132,C,Toledo,OH,43609-1414,761.00,0.77,582,,,,,,,3.0,1971,,84,48,,,Princeton Management,2550 S Telegraph Rd,"Bloomfield Hills, MI 48302-0950",,2486832500,Princeton Management - Cambridge Briarcliff Woods,4193850448,Cambridge Briarcliff Owner Llc,,,2550 S Telegraph Rd,"Bloomfield Hills, MI 48302-0950",555,,630,
3950-3958 Airport Hwy,Airport Manor,56,C,Toledo,OH,43615-7160,525.00,1.01,531,,,,,,,3.5,1995,,,,,,Terry Schaich,316 N Michigan St Suite # 235,"Toledo, OH 43604-5666",Terry Schaich,4192417909,Beal - Airport Manor,7346626133,Terry Schaich,,4192417909,316 N Michigan St Suite # 235,"Toledo, OH 43604-5666",,528,,
4400 Airport Hwy,Country Trail Estates,76,C,Toledo,OH,43615-7013,842.00,0.73,611,,,,,,,1.7,2001,,22,54,,,4404 Airport Llc,221 Allen St,"Maumee, OH 43537",,,Country Trail Estates,5672005009,4404 Airport Llc,,,221 Allen St,"Maumee, OH 43537",535,,641,
3401 Alexis Rd,Winter Haven Village,62,B,Toledo,OH,43623,600.00,0.99,591,,,,,,,0.5,1976,2000,31,,,,Baker and Hostetler LLP,127 Public Sq Suite # 2000,"Cleveland, OH 44114-1217",Kevin Saunders,2166210200,Sunbelt - Winter Haven Village,4199086948,"Winterhaven Property Investments, LLC",,,3401 Alexis Rd,"Toledo, OH 43623    ",649,529,,
5301 Alexis Rd,The Contemporary,64,C,Sylvania,OH,43560,700.00,0.91,639,,,,,,,,1969,,32,32,,,Joseph E Goodell,4312 N Holland Sylvania Rd,"Toledo, OH 43623",,4198822090,Goodell - The Contemporary,4198828493,Sylvania Towers Apts Llc,,,4540 Brookside Rd,"Toledo, OH 43615",582,,695,
1865 W Alexis Rd,AHEPA 118 Senior Apartments,57,C,Toledo,OH,43613-2311,,,,,,,,,,,2004,,57,,,,"AREC 42, LLC",2727 N Central Ave,"Phoenix, AZ 85004",Edward Shoen,6022636555,AHEPA 118 Senior Apartments,4194710112,Arec 42 Llc,,,,,,,,
1900 W Alexis Rd,Tamaron Apartments,140,C,Toledo,OH,43613,703.00,0.85,595,,,,,,,,1971,,105,30,,,Marving  - Tamaron Apartments,1900 W Alexis Rd,"Toledo, OH 43613",,4194745551,Marving  - Tamaron Apartments,4194745551,Alexian Co An Ohio Gen Pt Ii,,,,,574,524,675,
1933 W Alexis Rd,Winchester Court Apartments,58,C,Toledo,OH,43613,665.00,0.89,594,,,,,,,4.7,1976,,57,1,,,"Beal Properties, LLC",23 N Washington Ave,"Ypsilanti, MI 48197",,7346626133,Beal - Winchester Court Apartments,4192590619,Winchester Place Llc,,,23 N Washington St,"Ypsilanti, MI 48197",591,,525,
1956 W Alexis Rd,Tamaron Tower,60,C,Toledo,OH,43613,716.00,0.87,624,,,,,,,,1969,,36,20,,,Katherine Marquardt,9313 Saint Angelas Way,"Sylvania, OH 43560    ",,4198822991,Marving - Tamaron Apartments,4194745551,Tamaron Towers Llc,,,1900 Alexis Rd,"Toledo, OH 43613    ",592,541,697,
2051 W Alexis Rd,Courtyard Apartments,96,C,Toledo,OH,43613,779.00,0.84,656,,,,,,,1.5,1980,2013,22,74,,,Joseph E Goodell,4312 N Holland Sylvania Rd,"Toledo, OH 43623",,4198822090,Goodell - Courtyard Apartments,4194753273,Timber Run Apartments LLC,,,4540 Brookside Rd,"Toledo, OH 43615",576,,679,
3355 W Alexis Rd,Abbey Run,81,C,Toledo,OH,43623,736.00,1.00,739,,,,,,,2.5,1969,,11,65,,,Monarch Investment and Management Group,2195 S Hwy 83 Suite # 14,"Franktown, CO 80116-8610",,3034162900,Monarch - Abbey Run,4194722629,Toledo Properties Owner B Llc,,,666 5th Ave,"New York, NY 10103-0001",687,567,760,
4343 W Alexis Rd,Orchard Farms,116,C,Toledo,OH,43623,714.00,0.95,675,,,,,,,,1979,,40,60,,,Cornerstone Managed Properties,2147 28th St,"Lorain, OH 44055",,4402021333,Cornerstone - Orchard Farms,4194028202,,,,,,633,552,735,
4560 W Alexis Rd,Alexis Gardens,117,C,Toledo,OH,43623-1082,637.00,3.96,"2,521",,,,,,,12.4,2002,,30,27,,,New Senior Investment Group Inc.,55 W 46th St,"New York, NY 10036-4112",,6468223700,Atria Alexis Gardens,4199093211,Toledo The City Of,,,1 Government Ctr,"Toledo, OH 43604","2,470","2,074","3,495",
365-415 Anthony Wayne Trl,,52,C,Waterville,OH,43566,727.00,0.81,590,,,,,,,5.5,1971,,20,32,,,Krch Realty,1715 Indianwood Cir Suite # 270,"Maumee, OH 43537",,4199441238,Seaway Asset Management & Real Estate Co,4195371090,Allen James Limited An Ohio Li,,,5217 Monroe St,"Toledo, OH 43623    ",524,,628,
2101 Arlington Ave,Arlington by the Lake,50,C,Toledo,OH,43609-1979,540.00,1.70,916,,,,,,,,1983,,50,,,,National Church Residences,2335 N Bank Dr,"Columbus, OH 43220-5423",Mark Ricketts,6144512151,National Church - Arlington by the Lake,4193816627,Arlington Of Lake Senior Housing,,,2335 N Bank Dr,"Columbus, OH 43220-5423",914,,,
2125 Arlington Ave,Lakewoods,89,B,Toledo,OH,43609-1983,707.00,0.92,653,,,,,,,,1931,,62,27,,,Independent Management Services,14381 North Rd,"Fenton, MI 48430    ",,8107507000,IMS - Lakewood,4193808079,Mv-97 Limited Partnershipa Michigan Limi,,,14381 North Rd,"Fenton, MI 48430",614,,737,
3313 Arlington Ave,Arlington South Apartments,108,C,Toledo,OH,43614-2469,788.00,0.88,696,,,,,,,4.6,1971,,9,99,,,Princeton Management,2550 S Telegraph Rd,"Bloomfield Hills, MI 48302-0950",Matthew Lester,2486832500,Princeton Management - Arlington South Apartments,4193800844,Arlington South Apartments Llc,,,5625 Shadow Ln,"Bloomfield Hills, MI 48302",650,,700,
4804 W Bancroft St,Sandalwood,50,C,Toledo,OH,43615,605.00,1.31,790,,,,,,,7.9,1983,,25,15,,,Elon Property Management,590 W Kennedy Blvd Suite # 1D,"Lakewood, NJ 08701    ",Sam Moerman,7322001200,Elon - Sandalwood Apartments,5672882314,Elon Property Management,,7322001200,590 W Kennedy Blvd Suite # 1D,"Lakewood, NJ 08701    ",758,584,968,
6705 W Bancroft St,Greenglen,58,B,Toledo,OH,43615-3002,531.00,1.43,761,,,,,,,0.0,1982,,39,5,,,Elon Property Management,590 W Kennedy Blvd Suite # 1D,"Lakewood, NJ 08701    ",Sam Moerman,7322001200,Elon - Greenglen,4194913340,Greenglen Apts Of Toledo Ltd Partnership,,,590 W Kennedy Blvd,"Lakewood, NJ 08701    ",779,672,849,
6951 W Bancroft St,Orchard Creek,68,A,Toledo,OH,43615-8701,"1,100.00",1.30,"1,432",,,,,,,1.5,2017,,,68,,,"McCarthy Builders, Inc.",3618 King Rd Suite # Unit 3,"Toledo, OH 43617    ",,4194761474,Noneman - Orchard Creek,5672882888,,,,,,,,"1,432",
1435 Bernath Pky,Pinehurst Place,90,C,Toledo,OH,43615,860.00,0.98,845,,,,,,,2.2,1974,,40,44,6,,Capri Investment Group,2450 Heathergate Blvd,"Toledo, OH 43614",,4193890555,Capri - Pinehurst Place,4193890555,Capri- Pinehurst Place,,,P.O.Box 60422,"Rossford, OH 43460",725,,929,"1,030"
1736 Brownstone Blvd,Meldon Place,127,C,Toledo,OH,43614-1375,517.00,1.41,728,,,,,,,3.2,1977,,97,2,,,Elon Property Management,590 W Kennedy Blvd Suite # 1D,"Lakewood, NJ 08701    ",Nathan Weldler,7322001200,Elon - Meldon Place Apartments,4194914447,Meldon Place Apts Of Tol L Td An Oh Ltd,,,1736 Brownstone Blvd,"Toledo, OH 43614    ",750,640,900,
1801 Brownstone Blvd,Hawthorne Hills,88,C,Toledo,OH,43614,"1,145.00",0.66,759,,,,,,,1.5,1972,,24,64,,,Hawthorne Hills Toledo LLC,2147 E 28th St,"Lorain, OH 44055-1932",James Dixon,4408885044,Pepper Pike - Hawthorne Hills Apartments,4198655166,Hawthorne Hills Toledo LLC,,4408885044,2147 E 28th St,"Lorain, OH 44055-1932",685,,785,
1004 S Byrne Rd,Linda & Susan Arms Apartments,70,C,Toledo,OH,43609-1040,486.00,1.09,528,,,,,,,4.5,1972,,58,12,,,Doychev Building Group,2893 Dixie Hwy,"Waterford, MI 48328-1714",Pavel Doychev,2486817847,Linda & Susan Arms Apartments,4193810600,Doychev Building Group Llc,,,3893 Dixie Hwy,"Waterford, MI 48329",513,,589,
1850 S Byrne Rd,Crossgate Manor,96,C,Toledo,OH,43614,630.00,0.93,584,,,,,,,1.6,1974,,96,,,,J & G,152 S Beach,"Marco Island, FL 34145",,4192448336,J & G - Crossgate Manor,4193811645,Crossgates Apartments LLC,,,1080 Old Marco Ln,"Marco Island, FL 34145    ",582,,,
909 Byrneport Dr,Byrneport Apartments,100,C,Toledo,OH,43609-1408,"1,141.00",,,,,,,,,3.1,1978,,,48,42,10,Byrneport Owner Llc,566 W Lake St,"Chicago, IL 60661-1410",,,Kennedy Brothers- Byrneport Apartments,4193858328,Byrneport Owner Llc,,,566 W Lake St,"Chicago, IL 60661-1410",,,,
308 Campbell Hill Rd,Campbell Hill Apartments,85,C,Bowling Green,OH,43402,"1,181.00",0.83,980,,,,,,,0.0,1989,1999,,10,75,,GreenBriar Inc.,445 E Wooster St,"Bowling Green, OH 43402    ",,4193520717,GreenBriar Inc.,4193520717,Campbell Hill Apartments Ltd,,,41 S High St,"Columbus, OH 43215    ",,,838,996
2711 W Central Ave,Cedars Apartments,84,C,Toledo,OH,43606-3463,715.00,0.84,600,,,,,,,1.2,1970,,29,55,,,Virginia Ave Ltd,2711 W Central Ave,"Toledo, OH 43606-3463",,,,,Virginia Ave Ltd,,,2711 W Central Ave,"Toledo, OH 43606-3463",597,,699,
2954 W Central Ave,Orchard Village,97,C,Toledo,OH,43606,855.00,1.03,884,,,,,,,2.1,1976,,31,65,,1,Rookwood Properties,8160 Corporate Park Dr Suite # 220,"Montgomery, OH 45242-3311",,5134696580,Rookwood - Orchard Village,5672987800,Carriage House East Investor L,,,,,800,,913,
1005 Chauncey Ln,Chauncey Pointe,64,C,Bowling Green,OH,43402-4388,864.00,1.02,880,,,,,,,,2008,,,64,,,The NRP Group,1228 Euclid Ave Suite # 400,"Cleveland, OH 44115-1834",,2164758900,The NRP Group  - Chauncey Pointe,2164758900,Bowling Green Senior Community Llc,,,5309 Transportation Blvd,"Cleveland, OH 44125-5333",,,880,
2323 Cheyenne Blvd,Mossing Townhomes,101,C,Toledo,OH,43614-1754,"1,153.00",0.68,789,,,,,,,,1974,,23,51,27,,Seiler Rentals Llc,7944 Honeysuckle Ln,"Maumee, OH 43537-9281",Jeffery Seiler,4194641220,Seiler Rentals Llc - Mossing Townhomes,4194641220,Seiler Rentals Llc,,4194641220,7944 Honeysuckle Ln,"Maumee, OH 43537-9281",562,,813,933
2423 Cheyenne Blvd,The Woodlands,150,C,Toledo,OH,43614,974.00,0.86,842,,,,,,,11.9,1973,2019,24,90,36,,LC Spring Hollow LLC,30195 Chagrin Blvd,"Pepper Pike, OH 44124-5719",,,Pepper Pike Capital Partners,4198650620,LC Spring Hollow LLC,,,30195 Chagrin Blvd,"Pepper Pike, OH 44124-5719",693,,825,970
2408 Cheynne Blvd,Southwyck Park Apartments,120,C,Toledo,OH,43614,834.00,0.77,645,,,,,,,0.0,1973,,36,84,,,"DHP Landerbrook, Inc.",5910 Landerbrook Dr Suite # 200,"Cleveland, OH 44124-6508",Dave Hochman,4405441130,Southwyck Park Apartments,4198657431,Southwyck Park Apartments Llc,,,28001 Chagrin Blvd,"Woodmere, OH 44122-2639",575,,675,
1801 Christian Ave,Valley Park,120,C,Toledo,OH,43613-2903,670.00,1.18,788,,,,,,,5.8,1970,,78,42,,,Cornerstone Managed Properties,2147 28th St,"Lorain, OH 44055",,4402021333,CMP - Valley Park,4192998480,Valley Park Toledo Llc,,,2147 E 28th St,"Lorain, OH 44055-1932",744,,859,
18 City Park Ave,City Park Mobile Home Village,83,C,Toledo,OH,43609-2400,,,,,,,,,,86.2,1947,,83,,,,Nadine M Theodorou,1945 Northover Rd,"Toledo, OH 43613-2874",Nadine Theodorou,4194720578,,,Nadine M Theodorou,,4194720578,1945 Northover Rd,"Toledo, OH 43613-2874",,,,
1556 Clough St,Ivywood Apartments,67,C,Bowling Green,OH,43402,475.00,1.16,554,,,,,,,,1979,,42,1,,,"Cormorant Company, Inc.",6960 Orchard Lake Rd,"West Bloomfield, MI 48322-4515",Harold Kulish,2488552070,Cormorant - Ivywood Apartments,4193527691,Ivywood 67 Llc,,,6960 Orchard Lake Rd,"West Bloomfield, MI 48322    ",595,475,715,
1202-1210 Collingwood Blvd,Pinewood Place,99,C,Toledo,OH,43604-8131,509.00,1.46,745,,,,,,,2.5,1978,,96,3,,,Nick Hirt,2274 Glenwood Ave,"Toledo, OH 43620",Nick Hirt,6162068163,Toledo - Pinewood Place Apartments,4192431413,Collingwood Investments Llc,,6162068163,1033 Dorr St,"Toledo, OH 43607-4007",742,,766,
360 Colony Ln,Arbors of Bowling Green,120,C,Bowling Green,OH,43402,979.00,0.88,861,,,,,,,1.7,1995,,24,48,48,,T & R Properties,3895 Stoneridge Ln,"Dublin, OH 43017-2152",,6149234000,T&R - Arbors of Bowling Green,4194191382,Bowling Green Associates Limit,,,360 Colony Ln,"Bowling Green, OH 43402    ",581,,859,999
10 E Colony Dr,The Village at Waterville Landing,108,B,Waterville,OH,43566-8723,"1,300.00",1.16,"1,502",,,,,,,,2018,,,108,,,Doug Howard Builders Inc,2780 Centennial Rd,"Toledo, OH 43617    ",,4194675765,,,,,,,,,,"1,502",
6600 Convent Blvd,Convent Park Apartments,52,C,Sylvania,OH,43560,763.00,1.01,758,,,,,,,,1988,,14,38,,,Franciscan Properties Inc,6832 Convent Blvd,"Sylvania, OH 43560    ",,4198828373,Noneman - Convent Park Apartments,4198826356,Franciscan Properties Inc An O,,,6832 Convent Blvd,"Sylvania, OH 43560    ",697,,799,
3058-3262 Corduroy Rd,Eastwyck Apartments,143,C,Oregon,OH,43616,735.00,0.85,622,,,,,,,0.0,1971,,85,58,,,J & G,152 S Beach,"Marco Island, FL 34145",,4192448336,J&G - Eastwyck Apartments & Townhouse,4196912944,Eastwyck Apartments Llc,,,1080 Old Marco Ln,"Marco Island, FL 34145    ",562,,707,
2130 Country Trace Ln,Country Trace Apartments,139,C,Toledo,OH,43615,948.00,0.87,827,,,,,,,0.7,1988,,,139,,,J & G,152 S Beach,"Marco Island, FL 34145",,4192448336,J&G - Country Trace Apartments,4198679064,Cta Investors Llc,,,4540 Brookside Rd,"Ottawa Hills, OH 43615-2206",,,827,
1210 Country View Ln,Country View Apartments,140,B,Toledo,OH,43615,"1,004.00",0.85,858,,,,,,,0.0,1995,,,140,,,Walker & Dunlop,6628-6646 Riverside Dr Suite # 420,"Dublin, OH 43017-9503",,6143965970,J & G - Country View Apartments,,Cv Developers Llc An Ohio Llc,,,1900 Polaris Pky,"Columbus, OH 43240    ",,,858,
6853 Deer Ridge Rd,Redwood Maumee,90,B,Maumee,OH,43537,"1,294.00",1.34,"1,737",,,,,,,,2011,,,90,,,Redwood Living,7510 E Pleasant Valley Rd,"Independence, OH 44131-5536",,2163609441,Redwood - Redwood Maumee,4194507114,Golba Betty J,,,3811 Deer Valley Ln,"Maumee, OH 43537",,,"1,737",
1236 Dixie Hwy,Riverview Apartments,111,C,Rossford,OH,43460,849.00,0.82,693,,,,,,,1.8,1973,,33,78,,,"Oak Hill Investment, LLC",5330 Heatherdowns Blvd Suite # 201,"Toledo, OH 43614    ",John Hilbert,4198661160,Oak Hill - Riverview Apartments,4196660106,Port Lawrence Title & St Co Trustee,,,5330 Heatherdowns Blvd,"Toledo, OH 43614    ",616,,725,
3414 Dorr St,University Circle Apartments,150,C,Toledo,OH,43607-1163,"1,104.00",1.40,"1,548",,,,,,,13.8,1967,,52,44,51,1,Masoud Saedi,4425 River Rd,"Toledo, OH 43614",,4193800522,University Circle Apartments,4195361858,Saedi Saed F,,,215 Ravine Baye Rd,"Bayside, WI 53217","1,038","1,609","2,025","1,636"
5460 Dorr St,Kensington Place Apartments,100,C,Toledo,OH,43615,590.00,0.97,570,,,,,,,0.3,1979,,84,12,,,J & G,152 S Beach,"Marco Island, FL 34145",,4192448336,J&G - Kensington Place Apartments,4195371440,Longwood Apartments Llc,,,1080 Old Marco Ln,"Marco Island, FL 34145    ",560,500,652,
6535 Dorr St,Windjammer Apartments,100,C,Toledo,OH,43615-4203,734.00,0.87,642,,,,,,,,1977,,50,50,,,J & G,152 S Beach,"Marco Island, FL 34145",,4192448336,J&G - Windjammer Apartments,4198671111,Windjammer Company Inc,,,1080 Old Marco Ln,"Marco Island, FL 34145",602,,706,
4811 Douglas Rd,Douglas Square Apartments,55,C,Toledo,OH,43613,,,,,,,,,,4.9,1983,,,,,,Rose Douglas B,8 Jefferson Dr,"East Granby, CT 06026-9539",,8605394693,Douglas Square Apartments,4194726087,Douglas Square Apartments Limi,,,PO Box 167928,"Irving, TX 75016    ",,,,
129 Dr McAuleys Ct,Louisiana House,132,C,Perrysburg,OH,43551,600.00,1.44,864,,,,,,,,1982,,132,,,,"Midland States Bancorp, Inc",1201 Network Centre Dr,"Effingham, IL 62401-4677",,2173427321,Louisiana House Apartments,4198742376,Perrysburg Ecumenical Housing Inc,,,,,861,,,
2930 Dustin Rd,Charles Crest Apartments,51,C,Oregon,OH,43616,,,,,,,,,,,1994,,,,,,City Of Oregon,2930 Dustin Rd,"Oregon, OH 43616    ",,,Mercy Housing - Charles Crest,4196910099,City Of Oregon,,,2930 Dustin Rd,"Oregon, OH 43616    ",,,,
2822-2846 Eldora Dr,Hidden Village Square,72,C,Toledo,OH,43613,467.00,1.16,543,,,,,,,4.2,1970,2012,44,,,,Pinnacle Realty and Investment Advisors LLC,12419 N Wing Shadow Ln,"Marana, AZ 85658",Jarrett Reidhead,5203318050,Link - Hidden Village Square,6146867775,Ohio Apartment Investors LLC,,,,,558,511,,
840 W Elm St,West Elm Apartments,100,C,Wauseon,OH,43567,718.00,0.72,514,,,,,,,,1991,,32,56,12,,"Deardorf Property Management, Inc.",1310 County Road 12,"Corunna, IN 46730",,2602812500,DPM-West Elm Apartments,4193357232,Wauseon Limited Partnership,,,PO BOX 127,"CORUNNA, IN 46730",428,,540,618
463 Elmdale Ct,Mercer Courts,100,C,Toledo,OH,43609-1338,672.00,,,,,,,,,3.1,1972,,100,,,,Lucas Metropolitan Housing Authority,424 Jackson St,"Toledo, OH 43604    ",,4192599400,Mercer Courts,4192599480,Lucas Metro Hsg Auth,,,,,,,,
710 N Enterprise St,Heinzsite Apartments,132,C,Bowling Green,OH,43402,700.00,0.93,653,,,,,,,0.0,1997,,66,66,,,Mecca Management,1045 N Main St Suite # 7B,"Bowling Green, OH 43402    ",,4193535800,Mecca Management - Heinzsite Apartments,4193535800,Heinzsite Apartments Limited P,,,PO BOX 1167,"BOWLING GREEN, OH 43402",495,,810,
3735 N Erie St,Regina Manor,140,C,Toledo,OH,43611,546.00,,,,,,,,,4.9,1969,,70,,,,Brian Chein-Chih Chen,401 Wilshire Blvd Suite # 230,"Santa Monica, CA 90401-1416",Brian Chienchih Chen,2133055718,Regina Manor,4197266186,,,,,,,,,
1 S Erie St,The Berdan,115,C,Toledo,OH,43604-8233,"1,005.00",1.17,"1,176",,,,,,,2.5,1902,2014,52,52,,,BuildTech LTD,401 S Washington Sq Suite # 102,"Lansing, MI 48933    ",Richard Karp,5173747704,Curator - The Berdan,4192499800,"The Berdan, LLC",,,401 S Washington Sq,"Lansing, MI 48933    ","1,068",976,"1,327",
34 S Erie St,The Standart Lofts,75,B,Toledo,OH,43604-8253,"1,089.00",1.12,"1,220",,,,,,,1.2,1900,,30,22,,,BuildTech LTD,401 S Washington Sq Suite # 102,"Lansing, MI 48933    ",Richard Karp,5173747704,Curator - The Standart Lofts,4192499800,Standart Lofts Llc,,,401 S Washington Sq,"Lansing, MI 48933    ","1,107","1,165","1,421",
1072 Fairview Ave,Bowling Green Estates,60,B,Bowling Green,OH,43402,"1,020.00",0.60,610,,,,,,,0.0,1993,,,36,24,,Mecca Management,1045 N Main St Suite # 7B,"Bowling Green, OH 43402    ",,4193535800,Mecca Management - Bowling Green Estates,4193535800,Bowling Green Estates Lp,,4193535800,1045 N Main St,"Bowling Green, OH 43402    ",,,572,667
6511 Field Ave,Andover Court Apartments,81,B,Whitehouse,OH,43571-9685,,,612,,,,,,,0.0,1981,,30,30,21,,A & M Green Family Limited Partnership O,1045 N Main St,"Bowling Green, OH 43402-4904",Allen Green,4193529395,Mecca Management - Andover Court Apartments,4193535800,A & M Green Family Limited Partnership O,,4193529395,1045 N Main St,"Bowling Green, OH 43402-4904",450,,600,857
1717 Fielding Ave,Westland Gardens,100,C,Toledo,OH,43615-3458,"1,018.00",,,,,,,,,3.1,,,,80,20,,Owner's Management Company,25250 Rockside Rd,"Bedford Heights, OH 44146-1900",Fred Rzepka,4404393800,Owner's Management - Westland Gardens,4195360654,Westland Gardens Ltd,,,1717 Fielding Ave,"Toledo, OH 43615",,,,
1225 Flaire Dr,Oblate Residences,90,C,Toledo,OH,43615,,,,,,,,,,,1980,,,,,,Vistula Management Co,1931 Scottwood Ave Suite # 700,"Toledo, OH 43620    ",,4192422300,Vistula - Oblate Residences,4195363862,Oblate Residence,,,1225 Flaire Dr,"Toledo, OH 43615    ",,,,
2200 Foxbourne Rd,Southwyck Place Apartments,72,B,Toledo,OH,43614-2021,808.00,0.81,652,,,,,,,2.7,1970,,34,16,22,,Ernest Tschannen,6029 Woodminster Cir,"Orangevale, CA 95662-5034",,9165427248,Denizen - Southwyck Place,4197252621,Purdie Gail M,,,1500 Solona Blvd,"Roanoke, TX 76262",518,,725,799
2221 Foxbourne Rd,Southwyck Landing,60,C,Toledo,OH,43614,835.00,1.12,935,,,,,,,10.0,,,,60,,,Five West Group,1072 Madison Ave Suite # D1,"Lakewood, NJ 08701-2650",,7329877778,FWG - Southwyck Landing,4192590619,Arlington Ckms Llc,,,301 W Michigan Ave,"Ypsilanti, MI 48197    ",,,935,
