Property Address,Property Name,Number Of Units,Building Class,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Phone,Sale Company Contact,Vacancy %,Year Built,Year Renovated,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Owner Name,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Name,Property Manager Phone,Recorded Owner Name,Recorded Owner Contact,Recorded Owner Phone,Recorded Owner Address,Recorded Owner City State Zip,One Bedroom Effective Rent/Unit,Studio Effective Rent/Unit,Two Bedroom Asking Rent/Unit,Three Bedroom Effective Rent/Unit
139 E Clifton Ave,,20,C,Cincinnati,OH,45202,568.00,0.81,459,,,,,,,62.3,1870,,10,1,2,,Robert Haber,2880 Winthrop Rd,"Shaker Heights, OH 44120",,2169389001,Robert Haber,2169389001,Clifton Ave 139 Llc,,,852 Cypress Ave,"Ridgewood, NY 11385",435,356,522,871
150 E Clifton Ave,,6,C,Cincinnati,OH,45202,699.00,,,,,,,,,96.2,1900,,6,,,,Robert Haber,2880 Winthrop Rd,"Shaker Heights, OH 44120",Robert Haber,2169389001,Robert Haber,2169389001,"Clifton Ave 150, LLC",,,44 Park Pl,"Brooklyn, NY 11217",,,,
212-214 E Clifton Ave,East Apartments,9,C,Cincinnati,OH,45202-8943,,,471,,,,,,,9.6,1871,,5,3,1,,"Downtown Property Management, Inc.",1416-1418 Central Pky,"Cincinnati, OH 45202-7533",Dharma Ramineni,5136654376,"Downtown Property Management, Inc.",5136654376,"Downtown Property Management, Inc.",,5136654376,1416-1418 Central Pky,"Cincinnati, OH 45202-7533",392,,509,728
19-27 W Clifton Ave,,17,C,Cincinnati,OH,45202-4976,,,809,,,,,,,9.4,1879,,3,7,7,,Paramount Omega LLC,PO Box 20575,"Piedmont, CA 94620    ",Geza Polony,5104219055,,,"Paramount Omega, LLC",,,P.O.Box 20575,"Piedmont, CA 94620    ",601,,779,918
102 W Clifton Ave,,7,C,Cincinnati,OH,45202-4963,"1,243.00",,,,,,,,,4.3,1887,,2,4,,,Tallarigo Properties,P.O.Box 7641,"Tahoe City, CA 96145",Ben Tallarigo,5134774111,,,Tallarigo Benjamin,,,3517 Cornell Pl,"Cincinnati, OH 45220",,,,
427-435 Collins Ave,,10,C,Cincinnati,OH,45202,,,710,,,,,,,3.7,1942,,5,4,1,,James White,435 Collins Ave,"Cincinnati, OH 45202",,5132907150,,,Genest & White Ltd,,5133610533,2352 Ohio Ave,"Cincinnati, OH 45219    ",619,,742,"1,016"
7-9 W Court St,Court View,18,C,Cincinnati,OH,45202-1094,,,,,,,,,,4.3,,,,,,,Renee Frankel,923 Oregon Trl,"Cincinnati, OH 45215    ",,5137619754,,,One One Actual Llc,,,7 W Court St,"Cincinnati, OH 45202    ",,,,
1915 Eastern Ave,,6,C,Cincinnati,OH,45202-1711,,,,,,,,,,,1880,,,6,,,,,,,,,,,,,,,,,,
204 W Eighth St,The Waldo,43,C,Cincinnati,OH,45202,850.00,1.39,"1,178",,,,,,,,1892,2007,13,21,,,AJ & S Limited Partnership,1614 Chase Ave,"Cincinnati, OH 45223    ",Constance Wilson,5133654670,"Cats Management, LLC.",5133835579,AJ & S Limited Partnership,,5133654670,1614 Chase Ave,"Cincinnati, OH 45223    ",949,749,"1,502",
210 W Eighth St,,10,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,Alfred Carrington Inc,,,,,,,Alfred Carrington Inc,,,,,,,,
6 W Elder St,,7,C,Cincinnati,OH,45202,"1,136.00",0.67,761,,,,,,,,1890,,1,1,4,1,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Adam Gelter,5136214400,,,OTR Holdings Inc,,5139545484,255 E 5th St Suite # 1900,"Cincinnati, OH 45202-4700",371,,640,872
110 W Elder St,,6,C,Cincinnati,OH,45202-5902,,,,,,,,,,4.3,,,,,,,Wirtz Matthew A,1718 Pleasant St,"Cincinnati, OH 45202",,,,,Wirtz Matthew A,,,1718 Pleasant St,"Cincinnati, OH 45202",,,,
924 Elm St,,12,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,Loveland Crossing Llc,914 Elm St,"Cincinnati, OH 45202    ",,,,,Loveland Crossing Llc,,,914 Elm St,"Cincinnati, OH 45202    ",,,,
1008-1010 Elm St,,6,C,Cincinnati,OH,45202-1019,,,,,,,,,,4.3,1870,,,,,,Michael D Peterson,1010 Elm St,"Cincinnati, OH 45202    ",,,,,Michael D Peterson,,,1010 Elm St,"Cincinnati, OH 45202    ",,,,
1105-1111 Elm St,,65,C,Cincinnati,OH,45202-7513,,,,,,,,,,3.0,1917,2016,35,30,,,YMCA,101 N Wacker Dr Suite # 1600,"Chicago, IL 60606-1784",,8008729622,Central Parkway YMCA,5133814193,Young Mens Christian,,,1105 Elm St,"Cincinnati, OH 45202-7513",,,,
1420 Elm St,,7,C,Cincinnati,OH,45202-7566,,,,,,,,,,4.3,,,,,,,Wais W Brian,5459 Firethorn Ct,"Cincinnati, OH 45242",,5138289497,,,Anju Manocha,,,,,,,,
1433 Elm St,,7,C,Cincinnati,OH,45202-7548,,,,,,,,,,4.3,,,,,,,Matthew D Rosen,1349 Broadway St,"Cincinnati, OH 45202",Matthew Rosen,6143706928,,,Shelter House Volunteer,,,1433 Elm St,"Cincinnati, OH 45202",,,,
1500 Elm St,,17,C,Cincinnati,OH,45202,,,,,,,,,,4.3,1900,,,,,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,,,Elm St Senior Housing Ltd,,,114 14th,"Cincinnati, OH 45202",,,,
1514-1516 Elm St,The Fulda,8,C,Cincinnati,OH,45202-6971,700.00,,,,,,,,,,,,4,,,,Board of Trustees - OTRCH,112-114 W 14th St,"Cincinnati, OH 45202-7506",Roger Auer,5133811171,Board of Trustees - OTRCH,5133811171,RACE STREET TENANT ORGANIZATION COOPERATIVE,,,,,,,,
1700 Elm St,,6,C,Cincinnati,OH,45202-6982,,,,,,,,,,3.3,,,,,,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,Otr Revitalization,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,,,
1702 Elm St,,6,C,Cincinnati,OH,45202-9606,880.00,,,,,,,,,4.3,,,1,1,2,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,Fairview Estates Limited Partn,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,,,
1712 Elm St,,7,C,Cincinnati,OH,45202-6911,,,,,,,,,,4.3,,,,,,,Valerie J Johnson,1712 Elm St,"Cincinnati, OH 45202",Valerie Johnson,5132362685,,,Johnson Valerie,,,1712 Elm St,"Cincinnati, OH 45202",,,,
1713 Elm St,,8,C,Cincinnati,OH,45202-9604,,,,,,,,,,4.3,,,,,,,The Fortus Group,12207 Illinois Rd,"Fort Wayne, IN 46804",Rodney Baker,2606254211,,,Fg Otr 1 Llc,,,11501 Deerfield Rd,"Cincinnati, OH 45242    ",,,,
1810 Elm St,,8,C,Cincinnati,OH,45202,"1,075.00",,,,,,,,,,1878,,,6,1,1,Port of Greater Cincinnati Development Authority,3 E Fourth St Suite # 300,"Cincinnati, OH 45202-3728",Laura Brunner,5136213000,"The Model Group, Inc.",5135590048,Port of Greater Cincinnati Development Authority,,5136213000,3 E 4th St Suite # 600,"Cincinnati, OH 45202    ",,,,
1906-1908 Elm St,,8,C,Cincinnati,OH,45202-7700,384.00,1.46,561,,,,,,,4.3,1886,,7,,1,,Gary Enzweiler,26th E 6th St Suite # 501,"Cincinnati, OH 45202",Gary Enzweiler,5132813525,,,Suss Lofts Llc,,,26 E 6th St,"Cincinnati, OH 45202-2537",554,,,582
