Property Address,Property Name,Number Of Units,Building Class,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Phone,Sale Company Contact,Vacancy %,Year Built,Year Renovated,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Owner Name,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Name,Property Manager Phone,Recorded Owner Name,Recorded Owner Contact,Recorded Owner Phone,Recorded Owner Address,Recorded Owner City State Zip,One Bedroom Effective Rent/Unit,Studio Effective Rent/Unit,Two Bedroom Asking Rent/Unit,Three Bedroom Effective Rent/Unit
414 S 2nd St,,16,C,Yakima,WA,98901,625.00,0.78,490,,,,,,,10.7,1920,,8,,,,Wilsey Kris,PO BOX 2104,"YAKIMA, WA 98907",Kris Wilsey,5094521660,Wilson Real Estate - 414 S 2nd,5099521806,Wilsey Kris,,5094521660,PO BOX 2104,"YAKIMA, WA 98907",509,462,,
415 S 2nd St,,10,C,Yakima,WA,98901,,,,,,,,,,2.9,1938,,,,,,Wilsey Kris,PO BOX 2104,"YAKIMA, WA 98907",Kris Wilsey,5094521660,,,Csl Properties Llc,,,19608 131st Pl NE,"Granite Falls, WA 98252",,,,
604 N 3rd St,,13,C,Yakima,WA,98901,,,,,,,,,,2.9,1988,,,,,,Krook Franklin D & Nancy L,11065 View Ridge Dr,"Burlington, WA 98233",Franklin Krook,,,,Krook Franklin D & Nancy L,,,11065 View Ridge Dr,"Burlington, WA 98233",,,,
1004 S 3rd Ave,,24,C,Yakima,WA,98902-4572,750.00,,,,,,,,,1.5,1973,,24,,,,Cambridge Management,1916 64th Ave W,"Tacoma, WA 98466-6203",,2535347200,Cambridge - Central Villa,5092487093,Vbt Rivard Central Lp,,,1911 65th,"Fircrest, WA 98466",,,,
1910 S 3rd Ave,,13,C,Yakima,WA,98903,,,,,,,,,,2.9,1964,,,,,,Speidel James,1910 S 3rd Ave,"Yakima, WA 98903    ",,5095756464,,,Speidel James,,5095756464,1910 S 3rd Ave,"Yakima, WA 98903    ",,,,
312 N 4th St,Providence House - Yakima,48,C,Yakima,WA,98901,,,,,,,,,,1.9,1985,,,,,,Providence House,312 N 4th St,"Yakima, WA 98901    ",,5094525017,Providence House,5094525017,Gamelin Association,,,312 N 4th St,"Yakima, WA 98901    ",,,,
203 S 4th Ave,,10,C,Yakima,WA,98902,,,,,,,,,,2.9,1925,,,,,,Jeff & Michelle Daughs,217 S 98th Ave,"Yakima, WA 98908",,5099654034,,,Daughs Jeff & Mary Ann,,,217 S 98th Ave,"Yakima, WA 98908",,,,
27 S 4th St,Chestnut Manor Apartments,47,C,Yakima,WA,98901,576.00,0.83,479,,,,,,,7.1,1908,,31,5,,,Landmark Management Services,312 N 3rd St,"Yakima, WA 98901    ",,5099729520,Landmark- Chestnut Manor,5095750454,Chestnut Manor Limited Partner,,,10 N 10th Ave,"Yakima, WA 98902",475,444,561,
201 S 4th St,Walnut Manor,20,C,Yakima,WA,98901,800.00,,,,,,,,,2.9,1984,,,20,,,Walnut Manor Apartments,202 S 4th St,"Yakima, WA 98901    ",,5099610319,,,Navarro Investments Inc,,,202 S 4th St,"Yakima, WA 98901    ",,,,
202 S 4th St,Walnut Manor,20,C,Yakima,WA,98901,800.00,,,,,,,,,,1984,,10,10,,,Walnut Manor Apartments,202 S 4th St,"Yakima, WA 98901    ",,5099610319,,,Navarro Investments Inc,,,202 S 4th St,"Yakima, WA 98901    ",,,,
207 S 4th St,Imperial Apartments,10,C,Yakima,WA,98901,,,,,,,,,,2.9,1965,,,,,,Atlas Investments LLC,732 Summitview Ave Suite # 639,"Yakima, WA 98902",Michael Thorner,5094523937,,,Atlas Investments LLC,,5094523937,732 Summitview Ave Suite # 639,"Yakima, WA 98902",,,,
313 S 4th St,,11,C,Yakima,WA,98901,,,,,,,,,,2.9,1910,,11,,,,Dills Frederick A & Patricia L,PO BOX 901,"MOXEE, WA 98936",Fredrick Dills,5094526167,,,Dills Frederick A & Patricia L,,5094526167,PO BOX 901,"MOXEE, WA 98936",,,,
720 N 5th Ave,720 N 5th Ave Apartments,30,C,Yakima,WA,98902,834.00,0.70,583,,,,,,,2.7,1983,,10,20,,,Roderick H Schultz & Jennifer Schultz,414 N Cherry Ridge Ct,"Yakima, WA 98908",Roderick Schultz,5099666649,Associated/Daybreak Property,5094523848,Roderick H Schultz & Jennifer Schultz,,5099666649,414 N Cherry Ridge Ct,"Yakima, WA 98908",538,,605,
609-611 N 6th Ave,,10,C,Yakima,WA,98902,,,,,,,,,,2.9,1973,,,,,,Rodriguez Rosario,15374 Del Monte Farms Rd,"Castroville, CA 95012",,8312351856,,,Rodriguez Rosario,,8312351856,15374 Del Monte Farms Rd,"Castroville, CA 95012",,,,
715-717 N 6th Ave,,16,C,Yakima,WA,98902,,,,,,,,,,2.5,1984,,,,,,Roderick H Schultz,414 N Cherry Ridge Ct,"Yakima, WA 98908",Roderick Schultz,5099656697,715 - 717 N 6th Ave,5092488309,Roderick H Schultz & Jennifer Schultz,,5099666649,414 N Cherry Ridge Ct,"Yakima, WA 98908",,,,
718 N 6th Ave,The Willows,35,C,Yakima,WA,98902,540.00,1.58,855,,,,,,,1.2,1970,,35,,,,The Willows Partnership,643 Union St Suite # 200,"Salem, OR 97301    ",,5094576463,The Willows Partnership,5094576463,The Willows Partnership,,,643 NE Union St,"Salem, OR 97301",852,,,
810 N 6th Ave,Nueva Apartments,54,C,Yakima,WA,98902,,,,,,,,,,1.9,1999,,,,,,Yakima Housing Authority,810 N 6th Ave,"Yakima, WA 98902    ",,5094533106,810 N 6th Ave,5094533106,Yakima Housing Authority,,,810 N 6th Ave,"Yakima, WA 98902    ",,,,
6 N 6th St,Sun Tower,141,C,Yakima,WA,98901,412.00,1.59,653,,,,,,,2.9,1968,,50,,,,HumanGood,6120 Stoneridge Mall Rd Suite # 100,"Pleasanton, CA 94588-3296",Pamela Claassen,9259247100,Sun Tower Retirement,5092483191,Sun Tower Partners Lllp,,,6120 Stoneridge Mall Rd,"Pleasanton, CA 94588-3296",759,590,,
16 N 6th St,The Coachman,12,C,Yakima,WA,98901,,,,,,,,,,2.5,1967,,12,,,,Robert & Leslee Hughes,16768 Blodgett Rd,"Mount Vernon, WA 98274",Robert Hughes,9283086536,,,16 N 6th St Yakima LLC,,,16788 Blodgett Rd,"Mount Vernon, WA 98274",,,,
114 S 6th St,Cielo Apartments,12,C,Yakima,WA,98901,,,,,,,,,,2.5,1930,,12,,,,Vipond Justin,363 Cindy Rd,"Kennewick, WA 99338",Justin Vipond,,,,Vipond Justin,,,363 Cindy Rd,"Kennewick, WA 99338",,,,
904 S 6th St,,19,C,Yakima,WA,98901,,,,,,,,,,2.9,1965,,,,,,Catholic Bishop Of Yak Corp,904 S 6th St,"Sunnyside, WA 98944",,,,,Catholic Bishop Of Yak Corp,,,904 S 6th St,"Sunnyside, WA 98944",,,,
106 N 7th St,,10,C,Yakima,WA,98901,,,,,,,,,,2.9,1965,,2,8,,,Alex & Julia Georgiu,12534 SE 16th St,"Bellevue, WA 98005",Julia Georgiu,4256530116,,,Alex & Julia LLC,,,12534 SE 16th St,"Bellevue, WA 98005",,,,
206 N 7th St,,10,C,Yakima,WA,98901,,,,,,,,,,2.9,1976,,,,,,Rodriguez Rosario,15374 Del Monte Farms Rd,"Castroville, CA 95012",Rosario Rodriguez,2535078188,,,Rodriguez Rosario,,2535078188,15374 Del Monte Farms Rd,"Castroville, CA 95012",,,,
314-316 N 7th St,Yakima 16-plex Apts,16,C,Yakima,WA,98901,731.00,0.92,674,,,,,,,6.1,1969,,2,14,,,Anthony Rosensprung,,,Anthony Rosensprung,,Jevons Property Management,5098957777,314-316n7 Llc,,,13605 NE 8th St,"Bellevue, WA 98005-3434",604,,683,
405 N 8th St,,21,C,Yakima,WA,98901,800.00,,,,,,,,,1.6,1920,,9,11,,,German F. Mendoza,4112 Fernwood Ln,"Pasco, WA 99301-6133",German Mendoza,5095420917,Sunshine Factory Apartments,5095756377,German F. Mendoza,,5095420917,4112 Fernwood Ln,"Pasco, WA 99301-6133",,,,
10 S 8th Ave,Mabel Swan Manor,99,B,Yakima,WA,98902,450.00,1.47,664,,,,,,,,1979,,99,,,,First Presbyterian Church,9 S 8th Ave,"Yakima, WA 98902",,5092487940,United Marketing - Mabel Swan Manor,5092485151,Swan Memorial Hsng Assocn,,,918 20th Ave,"Yakima, WA 98902",662,,,
7 N 9th Ave,,11,C,Yakima,WA,98902,,,,,,,,,,2.5,1963,,,,,,Michael M Korach,7 N 9th Ave,"Yakima, WA 98902    ",,5094522327,7 N 9th Ave,5094522327,Michael M Korach,,5094522327,7 N 9th Ave,"Yakima, WA 98902    ",,,,
202 S 9th Ave,,16,B,Yakima,WA,98902,,,,,,,,,,2.5,1935,,,,,,Gary & Jeanette Adkins,230 Tanglewood Ln,"Selah, WA 98942",Gary Adkins,5099656358,Gary & Jeanette Adkins,5099656358,,,,,,,,,
115 S 9th St,,15,C,Yakima,WA,98901,,,,,,,,,,2.9,1935,,,,,,Rob Lindemann,120 NW 95th Ave,"Portland, OR 97229",Rob Lindemann,5032921708,,,Northwest Invs Hldgs 19 Llc,,,,,,,,
1010 S 9th St,Meadows Apartments,40,C,Yakima,WA,98901,750.00,,,,,,,,,1.9,1969,,40,,,,,,,,,Meadows Apartments,5094530943,,,,,,,,,
1014-1016 S 9th St,,16,C,Yakima,WA,98901,912.00,,,,,,,,,2.9,1994,,16,,,,Oregon State Grange Inc,643 Union St,"Salem, OR 97301    ",,5036220343,Meadows Annex Apartments,5094698394,Annex Meadows,,,643 Union St,"Salem, OR 97301    ",,,,
201 N 10th St,,19,C,Yakima,WA,98901,,,,,,,,,,2.5,1940,,,,,,Richard A & Jonell D Hanley,23 Via Soria,"San Clemente, CA 92673-7015",Richard Hanley,9492188216,201 N 10th St,9492188216,Lc Gateway Apartments Of Yakima L,,,11811 157th Ave NE,"Redmond, WA 98052-2258",,,,
1502 S 10th Ave,Mead Manor,25,C,Yakima,WA,98902,775.00,1.04,809,,,,,,,2.8,1989,,,25,,,Stephen & Olivia Galindo-Sziebert,3918 H Ave,"Anacortes, WA 98221",Stephen Sziebert,5094940732,Mead Manor,5094262543,Lak Rental Property LLC,,,3918 H Ave,"Anacortes, WA 98221",,,809,
8 N 11th Ave,,12,C,Yakima,WA,98902-3017,350.00,,,,,,,,,1.5,1940,2019,,,,,Michael J. Thorner,101 S 12th Ave,"Yakima, WA 98902",,5095751400,,,Trophy Recovery Services Llc,,,7001 Occidental Rd,"Yakima, WA 98903-9634",,,,
16 N 11th Ave,,11,C,Yakima,WA,98902,,,,,,,,,,2.9,1910,,,,,,Misael L Camarena,1410 Roza Dr,"Zillah, WA 98953",Misael Camarena,5098296610,,,Camarena Misael L & Susana,,,1410 Roza Dr,"Zillah, WA 98953",,,,
8-10 S 11th Ave,Bayhill Estates,16,C,Yakima,WA,98902,,,,,,,,,,2.5,1966,,,,,,Yakima 8 S 11th Ave LLC,,,,,,,Yakima 8 S 11th Ave LLC,,,,,,,,
110-112 S 11th Ave,,20,B,Yakima,WA,98902,700.00,1.08,759,,,,,,,8.5,1968,,12,8,,,James M. Boutillier,105 N 3rd St,"Yakima Firing Center, WA 98901",James Boutillier,5094539135,110 S 11th Ave,5099610187,Kgks Investments Llc Iii,,,PO BOX 8093,"YAKIMA, WA 98908",691,,853,
1704 S 12th Ave,,17,C,Yakima,WA,98902,,,,,,,,,,2.9,1973,,,,,,Scott Price,5464 174th Pl SE,"Bellevue, WA 98006    ",Scott Price,2064193884,,,Exploration Properties Llc,,2064197516,906 W 2nd Ave Suite # 100,"Spokane, WA 99201",,,,
615 N 15th Ave,,33,C,Yakima,WA,98902,,,,,,,,,,1.9,1980,,,,,,Yakima Housing Authority,615 N 15th Ave,"Yakima, WA 98902    ",,,,,Yakima Housing Authority,,,615 N 15th Ave,"Yakima, WA 98902    ",,,,
1203 S 16th Ave,Sky Manor Apartments,15,C,Yakima,WA,98902,,,672,,,,,,,2.5,1966,,9,5,1,,David M Reed,9114 49th Dr NE,"Marysville, WA 98270-2500",,3606538673,Jevons Property Management - Sky Manor,5098957777,Kris H Reed,,,,,613,,733,875
1111 S 18th Ave,,10,B,Yakima,WA,98902,,,,,,,,,,2.9,,,10,,,,,,,,,,,,,,,,,,,
1315 S 18th Ave,,15,B,Yakima,WA,98902,"1,196.00",0.72,858,,,,,,,2.5,1995,,,15,,,Melhorn Josh & Katie,815 Pleasant Valley Rd,"Yakima, WA 98908-8972",Joshua Melhorn,5099655565,Melhorn Josh & Katie - 1315 S 18th Ave,5099655565,Sadie & Audrey Investments Llc,,,815 Pleasant Valley Rd,"Yakima, WA 98908-8972",,,858,
1403-1407 S 18th Ave,,23,C,Yakima,WA,98902,"1,104.00",0.78,858,,,,,,,3.7,1920,,,11,12,,Christopher Christopher Buckler,1401 S 18th Ave,"Yakima, WA 98902",,5092259111,Yakima Valley Properties,5092481562,Buckler Christopher D,,,1401 18th Ave,"Yakima, WA 98902",,,760,946
1020 S 20th Ave,,20,C,Yakima,WA,98902,640.00,1.06,676,,,,,,,3.5,1971,,20,,,,Kerry & Gina Martin,5608 Marline St,"Yakima, WA 98908",,5099668077,Alliance Property Management,5099610187,Kgks Investments LLC,,,PO BOX 8093,"YAKIMA, WA 98908",673,,,
1111-1117 S 22nd Ave,,10,C,Yakima,WA,98902,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,
2412 N 25th Ave,,10,C,Yakima,WA,98902,,,,,,,,,,2.9,1956,,10,,,,Adkins Gary W,230 Tanglewood Ln,"Selah, WA 98942",,,,,Adkins Gary W,,,230 Tanglewood Ln,"Selah, WA 98942",,,,
620 N 34th Ave,Orchard Park,101,B,Yakima,WA,98902,592.00,3.83,"2,269",,,,,,,20.7,1989,,30,26,,,Welltower Inc.,767 Fifth Ave,"New York, NY 10153-0023",,6466778740,Holiday - Orchard Park,5096318211,,,,,,"2,345","2,019","2,554",
1010 N 34th Ave,Rexford Manor Retirement Community,48,B,Yakima,WA,98902-1046,668.00,4.14,"2,767",,,,,,,6.3,2004,,28,20,,,Lloyd H Butler,1214 N 20th Ave,"Yakima, WA 98902    ",Lloyd Butler,5092489668,Rexford Manor Retirement Community,5092487768,Aspen Willows Llc,,,1214 N 20th Ave,"Yakima, WA 98902    ","2,350",,"3,350",
211-227 N 38th Ave,,15,B,Yakima,WA,98902,,,,,,,,,,2.5,1957,,,,,,Leonard Clark,211 N 38th Ave,"Yakima, WA 98902",,5099651513,211 - 227 N 38th Ave,5099651513,Leonard Clark,,5099651513,211 N 38th Ave,"Yakima, WA 98902",,,,
214-216 N 38th Ave,,14,B,Yakima,WA,98902,,,,,,,,,,2.5,1955,,,,,,Mona Taylor,216 38th Ave,"Yakima, WA 98902",Mona Taylor,5099660763,214 - 216 N 38th Ave,5099660763,Mona Taylor,,5099660763,216 38th Ave,"Yakima, WA 98902",,,,
229-243 N 38th Ave,,13,B,Yakima,WA,98902,,,,,,,,,,2.9,1957,,,,,,BETTIE THOMAS,239 N 38TH Ave,"Yakima, WA 98902",,5099522401,,,Glengate Co-Op Cts Inc,,,235 N 38th Ave,"Yakima, WA 98902",,,,
702 S 38th Ave,Fisher View Apartments,36,C,Yakima,WA,98902,550.00,1.34,736,,,,,,,8.3,1977,,36,,,,Alejandro Escalera,702 S 38th Ave,"Yakima, WA 98902    ",,5098655815,Landmark Management - Fisher View Apartments,5099654744,Alejandro Escalera,,5098655815,702 S 38th Ave,"Yakima, WA 98902    ",729,,,
505 N 40th Ave,Crescent Place,15,B,Yakima,WA,98908-2696,750.00,3.39,"2,543",,,,,,,5.4,1985,,15,,,,Norman Hyatt,5102 Scenic Dr,"Yakima, WA 98908",Norman Hyatt,5092487379,Crescent Place,5092488383,Hyatt Norman H,Norman Hyatt,5092487379,5102 Scenic Dr,"Yakima, WA 98908","2,526",,,
802 N 40th Ave,Carriage Hill Estates Mobile Home Park,82,C,Yakima,WA,98908-2402,"1,000.00",,,,,,,,,2.5,1977,,82,,,,Marcia Blevins,4620 Scenic Dr,"Yakima, WA 98908",,5099419993,,,Carriage Hill Estates Llc,,,,,,,,
205 N 41st Ave,,10,C,Yakima,WA,98908,,,,,,,,,,2.9,1958,,,,,,Stevens Gwen K,221 N 41st Ave,"Yakima, WA 98908",,,,,Stevens Gwen K,,,221 N 41st Ave,"Yakima, WA 98908",,,,
226 N 41st Ave,,30,C,Yakima,WA,98908,,,,,,,,,,2.9,1952,,,,,,Ruehl Elmer & Opal,212 N 41st Ave,"Yakima, WA 98908",,5099653816,226 N 41st Ave,5099653816,Ruehl Elmer & Opal,,5099653816,212 N 41st Ave,"Yakima, WA 98908",,,,
309 N 41st Ave,Upland Plaza,18,C,Yakima,WA,98908,,,,,,,,,,2.9,1950,,,,,,Rockwell Courtney P & Lotus J,1411 SE Linden Ct,"Gresham, OR 97080",,5034924911,,,Rockwell Courtney P & Lotus J,,5034924911,1411 SE Linden Ct,"Gresham, OR 97080",,,,
314 N 41st Ave,Westpark,29,C,Yakima,WA,98908,,,927,,,,,,,0.0,1968,,,10,9,,Graf Investments Inc,410 S 1st St,"Selah, WA 98942",,5096974874,Graf - Westpark,5096974874,Kgg Investments,,,PO BOX 100,"SELAH, WA 98942",,711,994,"1,087"
316 N 41st Ave,,14,C,Yakima,WA,98908,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,
915 S 41st Ave,The Oaks Apartments,60,B,Yakima,WA,98908-3808,515.00,1.60,825,,,,,,,,1976,,60,,,,Ness Management,27821 36th Ave NW,"Stanwood, WA 98292    ",,2066832815,Ness - The Oaks Apartments,5099650385,Oaks Yakima Llc,,,,,825,,,
1001-1003 S 41st Ave,,10,C,Yakima,WA,98908,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,
1005 S 41st Ave,"1005 S 41st Ave, Yakima, WA 98908",10,C,Yakima,WA,98908-3816,,,,,,,,,,2.5,1965,,,,,,Evergreen Coast Properties LLC,1598 E Bentley St,"Monmouth, OR 97361",,,,,Evergreen Coast Properties LLC,,,1598 E Bentley St,"Monmouth, OR 97361",,,,
1020 S 41st Ave,,16,C,Yakima,WA,98908,,,828,,,,,,,0.1,1971,,9,7,,,Graf Karl G Jr,PO BOX 100,"SELAH, WA 98942",,2157667232,Graf - 1020 S 41st Ave,5096974874,Graf Karl G Jr,,2157667232,PO BOX 100,"SELAH, WA 98942",821,,833,
215 N 42nd Ave,,17,C,Yakima,WA,98908,,,,,,,,,,2.5,1952,,,,,,Allen Troy,1023 S 32nd Ave,"Yakima, WA 98902    ",Allen Troy,5099728155,215 N 42nd Ave,5099728155,Troy Allen,,,1023 S 32nd Ave,"Yakima, WA 98902    ",,,,
313 N 42nd Ave,,27,C,Yakima,WA,98908,,,,,,,,,,2.9,1954,,,,,,Anna Conner,331 N 42nd Ave,"Yakima, WA 98908",,5092185681,Anna Conner,5092185681,Anna Conner,,5092185681,331 N 42nd Ave,"Yakima, WA 98908",,,,
903 S 42nd Ave,Mt Vista,24,C,Yakima,WA,98908-5904,816.00,,,,,,,,,2.5,1973,,,24,,,Kidder Mathews,1201 Pacific Ave Suite # 1400,"Tacoma, WA 98402-4301",Ted Sipila,2537221400,903 S 42nd,5095753600,Batea III LLC,,,,,,,,
904 S 42nd Ave,,28,C,Yakima,WA,98908-3826,,,,,,,,,,2.5,2000,,28,,,,Sin In Suk,1702 Bonnie Doon Ave,"Yakima, WA 98902",,5093077169,,,Sin In Suk,,5093077169,1702 Bonnie Doon Ave,"Yakima, WA 98902",,,,
905 S 44th Ave,Arlington Apartments,54,B,Yakima,WA,98908,861.00,1.25,"1,080",,,,,,,0.1,1972,,,44,10,,Graf Investments Inc,410 S 1st St,"Selah, WA 98942",,5096974874,Graf - Arlington Apartments,5099654054,Arlington 905 Llc,,,,,,,"1,053","1,196"
913-917 S 48th Ave,,15,C,Yakima,WA,98908,,,,,,,,,,2.5,1971,,,,,,Gary M Delaney Jr,404 N 1st St,"Yakima, WA 98901",,5092489274,913-917 S 48th Ave,32033477,Christopher Court Properties Llc,,,404 1st St,"Yakima, WA 98901",,,,
1005-1007 S 48th Ave,,21,C,Yakima,WA,98908,"1,000.00",0.88,881,,,,,,,0.0,1995,,,21,,,Kerry & Gina Martin,5608 Marline St,"Yakima, WA 98908",Gina Martin,5099668077,Alliance Property-1005-1007 S 48th Ave,5099610187,Kgks I Investments Lls,,,PO BOX 8093,"YAKIMA, WA 98908",,,881,
1011-1015 S 48th Ave,,17,B,Yakima,WA,98908,,,,,,,,,,2.5,1992,,,,,,"Bean Gentry Wheeler and Peternell, PLLC",2211 Elliott Ave Suite # 200,"Seattle, WA 98121--169",Bean Gentry,3603572852,1011 - 1015 S 48th Ave,5099667279,Eisenhower Apartments Llc,,,,,,,,
1008-1020 S 51st Ave,,18,C,Yakima,WA,98908,764.00,,,,,,,,,2.7,1968,,17,1,,,"Sel, Inc.",1420 5th Ave Suite # 3000,"Seattle, WA 98101-4087",,2066266000,G & F Investments Inc,5095757950,G & F Investments Inc,,,,,,,,
408-410 S 60th Ave,Westwood Court,16,B,Yakima,WA,98908,,,,,,,,,,2.5,1971,,,,,,Gary M Delaney Jr,7600 Boston Harbor Rd NE,"Olympia, WA 98506",,5099610710,,,St Charles Properties Llc,,,,,,,,
408 S 61st Ave,,11,C,Yakima,WA,98908,,,"1,234",,,,,,,2.9,1965,,,11,,,Heidy G Mendoza,408 S 61st Ave,"Yakima, WA 98909",,5099496160,,,Heidy G Mendoza,,5099496160,408 S 61st Ave,"Yakima, WA 98909",,,"1,234",
202 N 66th Ave,,12,C,Yakima,WA,98908,,,,,,,,,,2.9,1972,,,,,,Jeff & Michelle Daughs,217 S 98th Ave,"Yakima, WA 98908",Jeff Daughs,5099654034,,,Daughs Mary Anne,,,217 S 98th Ave,"Yakima, WA 98908",,,,
1210 S 72nd Ave,Cornerstone Apartments,121,B,Yakima,WA,98908,969.00,0.75,728,,,,,,,1.7,1995,,,69,40,12,MRA Investment LLC,PO Box 5668,"Portland, OR 97228-5668",Michael Menashe,5038270561,Cambridge - Cornerstone Apartments Inc,5099658006,Cornerstone Partnership,,,PO BOX 5668,"PORTLAND, OR 97228",,,493,"1,015"
1221-1335 S 75th Ave,,32,C,Yakima,WA,98908-5704,976.00,0.92,899,,,,,,,,1994,,,32,,,Charles E & Suni B Danforth Trust,225 Maple Ave,"Milton Freewater, OR 97862-1431",Suni Danforth,5419389553,Home Source - 1221 S 75th Ave,5094522720,Charles E & Suni B Danforth Trust,,5419389553,225 Maple Ave,"Milton Freewater, OR 97862-1431",,,899,
601 E Arlington St,,14,C,Yakima,WA,98901,,,,,,,,,,2.9,1979,,,,,,Yakima Housing Authority,610 E Arlington St,"Yakima, WA 98901",,,,,Yakima Housing Authority,,,610 E Arlington St,"Yakima, WA 98901",,,,
4002-4008 W Arlington St,,10,C,Yakima,WA,98908,,,,,,,,,,2.5,,,,,,,M-13 Construction,775 W 1200 N,"Springville, UT 84663",Jennifer Lind,8014893215,4002 - 4008 W Arlington St,8014893215,Jennifer Lind,,8014920173,775 W 1200 St N Suite # 100,"Springville, UT 84663",,,,
2802 Beaudry Rd,Country Mobile Estates,65,C,Yakima,WA,98901-8038,"1,000.00",,,,,,,,,12.2,1974,,65,,,,Michael & Denise Werner,10009 SE Evergreen Hwy,"Vancouver, WA 98664    ",Michael Werner,3605139995,,,County Estates LLC,,,,,,,,
1402 E Beech St,Beech Street Apartments,59,B,Yakima,WA,98901-1209,"1,013.00",0.57,582,,,,,,,0.1,2012,,,24,23,12,"Community Development, Inc.",4481 N Dresden Pl,"Garden City, ID 83714    ",,2084598522,Cambridge - Beech Street Apartments,5094528900,Cdi Beech Street Lp,,,4110 Eaton Ave,"Caldwell, ID 83607-1702",,,403,813
